prefecture_norm,year,population,n_events,H_sum,E_sum,human_burden,econ_burden,H_pref_norm,E_pref_norm,logE_pref_norm,N_norm,risk_pref_raw,risk_score
Aichi,1961,4206313.0,1,2020.0,1117152.915610286,0.00048023054870143997,0.2655895829935352,0.00022564311315154822,9.749136290477112e-07,0.01882028565027462,0.0,0.00580403587428847,0.006219282314950901
Aichi,1965,4680185.0,1,1330.0,4037235.784136182,0.000284176800703391,0.8626231194143356,0.00013352448770606072,3.1664759828669852e-06,0.049698756029511175,0.0,0.015003093950247593,0.016076481761195284
Aichi,1966,4798653.0,1,520.0,442436.7982614994,0.00010836374290868709,0.09220020665413803,5.091623673002051e-05,3.3844414022187995e-07,0.007047013313226096,0.0,0.002149745359678843,0.0023035476669477743
Aichi,1972,5493644.2,1,500.0,841018571.4285715,9.101426699603152e-05,153.089377617242,4.276434017311648e-05,0.0005619532175142343,0.40251582062482727,0.0,0.12078468122556936,0.12942615244521663
Aichi,1980,6162024.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aichi,1982,6268344.8,1,3950.0,445341000.0,0.0006301504027027996,71.04602797216899,0.0002960850762285859,0.00026079238567673207,0.34177107624615954,0.0,0.10273858242720788,0.11008895578733668
Aichi,1983,6315051.6,1,1097.0,1310187000.0,0.00017371196143512114,207.47051378012495,8.16210211446819e-05,0.000761572909712721,0.4266677953283205,0.0,0.12805747331329742,0.13721927230029798
Aichi,1987,6502258.2,1,65090.0,94318133250.0,0.010010368397859069,14505.44262453312,0.004703513125507302,0.053245889957857145,0.7656618577834684,0.0,0.23299101652289564,0.24966022608895724
Aichi,1990,6643516.8,1,60400.0,9603335000.0,0.009091570296021529,1445.5197885553628,0.0042718028467319145,0.0053061453956011985,0.5814500566523687,0.0,0.17742527898842295,0.19011906951267835
Aichi,1994,6814441.2,1,305.0,360618000.0,4.47578885852005e-05,52.91967300268142,2.1030126770909654e-05,0.00019425502263135884,0.31861429892815973,0.0,0.09559901076718755,0.10243858753958139
Aichi,1998,6974000.0,1,378.0,5773120000.0,5.420131918554631e-05,827.806137080585,2.5467256156481858e-05,0.0030386714574902763,0.5369495134944186,0.0,0.1611026811276351,0.17262868068524917
Aichi,1999,7008000.0,1,27598.0,9415846000.0,0.003938070776255707,1343.5853310502282,0.001850358233494877,0.004931969229611437,0.5756111291375806,0.0,0.1739785895047206,0.18642578859308975
Aichi,2000,7047500.0,2,540421.0,16103425000.0,0.07668265342319971,2284.984036892515,0.03603042890528244,0.008387610894276662,0.6180167173435667,0.2,0.21062631543676769,0.22569545520249706
Aichi,2001,7087000.0,1,7130.0,1417269000.0,0.0010060674474389728,199.98151545082544,0.00047271501468286486,0.0007340826502798902,0.42374455713313075,0.0,0.12745426765021722,0.13657291063163707
