prefecture_norm,year,population,n_events,H_sum,E_sum,human_burden,econ_burden,H_pref_norm,E_pref_norm,logE_pref_norm,N_norm,risk_pref_raw,risk_year_norm,risk_cum_raw,risk_cum_norm,risk_final,half_life_years,decay_alpha,blend_prev_weight
Aichi,2014,7455000.0,4,29386.0,7950929617.453325,0.003941784037558686,1066.52308751889,0.0018521029618188346,0.003914942303070374,0.5571738617985341,0.6,0.1684486306128334,0.18050019194213252,0.11092205436490805,0.3711636444628826,0.2758319182025075,3,0.2062994740159002,0.5
Aichi,2015,7483000.0,1,865.0,273962000.0,0.00011559534945877322,36.61125217158894,5.4314109313222274e-05,0.00013439084589192448,0.2898337353148416,0.0,0.08698814047097173,0.09321165743275184,0.10598450051744715,0.35461905229255847,0.22391535486265515,3,0.2062994740159002,0.5
Akita,1961,1335580.0,1,2020.0,1117152.915610286,0.0015124515191901645,0.8364552595952964,0.0007106467304166191,3.070420245691434e-06,0.04856823933894952,0.0,0.01506792451297649,0.0161459505896073,0.003108504901538339,0.009905567809442845,0.013025759199525071,3,0.2062994740159002,0.5
Akita,1965,1290984.0,1,1330.0,4037235.784136182,0.001030221908249831,3.127254701945324,0.00048406432960795007,1.1479378054162035e-05,0.11327200563261237,0.0,0.034320446720509275,0.03677588353229211,0.009547512081806923,0.03148118016131925,0.03412853184680568,3,0.2062994740159002,0.5
Akita,1966,1279835.0,1,520.0,442436.7982614994,0.0004063023749155165,0.3456983113147393,0.00019090691544865012,1.2689729448000287e-06,0.02372435319603255,0.0,0.00725094079962382,0.007769705229016137,0.009073730634252528,0.029893648952584347,0.01883167709080024,3,0.2062994740159002,0.5
Akita,1972,1239597.0,1,500.0,841018571.4285715,0.00040335689744328197,678.4612833272196,0.00018952294121304616,0.0024904634603572064,0.5210738318015566,0.0,0.15645481559931612,0.16764828626511857,0.03947837094243785,0.1317725123583989,0.14971039931175872,3,0.2062994740159002,0.5
Akita,1980,1251892.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031334003782008325,0.1044826361732554,0.0522413180866277,3,0.2062994740159002,0.5
Akita,1982,1256202.4,1,3950.0,445341000.0,0.0031443977499167335,354.51373122675136,0.0014774397405506153,0.0013013321695901378,0.46931751565554947,0.0,0.14182946251505027,0.15197657062500147,0.05412915879978049,0.18086388787794253,0.16642022925147198,3,0.2062994740159002,0.5
Akita,1983,1255659.8,1,1097.0,1310187000.0,0.0008736442784900814,1043.4251379235045,0.0004104941164584206,0.003830155446561222,0.5554260183075539,0.0,0.16691515137378707,0.17885700080439434,0.07739684974415928,0.2588284973409563,0.2188427490726753,3,0.2062994740159002,0.5
Akita,1987,1248721.2,1,65090.0,94318133250.0,0.05212532629381162,75531.77863081047,0.024491821544422795,0.27725846617705724,0.8975003196026282,0.0,0.2863943709618844,0.3068842931028735,0.12051292844200293,0.40330042819518896,0.35509236064903127,3,0.2062994740159002,0.5
Akita,1990,1232788.8,1,60400.0,9603335000.0,0.0489946047530607,7789.927195964142,0.023020807764112798,0.028594894826201537,0.7159912900999086,0.0,0.23091195246485152,0.24743241657710976,0.14328818902978532,0.4796150183016818,0.36352371743939577,3,0.2062994740159002,0.5
Akita,1994,1216991.2,1,305.0,360618000.0,0.0002506180817083969,296.31931603120876,0.0001177564491090073,0.0010877148738019338,0.455034215991763,0.0,0.1365926943119052,0.14636514082361177,0.14190691199121042,0.4749866808731783,0.310675910848395,3,0.2062994740159002,0.5
Akita,1998,1201000.0,1,378.0,5773120000.0,0.0003147377185678601,4806.927560366361,0.000147883967056873,0.017645041419264935,0.677422435723742,0.0,0.2033302494940624,0.21787739637774084,0.1545785142103499,0.5174462665986171,0.367661831488179,3,0.2062994740159002,0.5
Akita,1999,1196000.0,1,27598.0,9415846000.0,0.0230752508361204,7872.780936454849,0.010842232859809446,0.0288990304022717,0.7168365473897365,0.0,0.22264052721878755,0.23856921692319816,0.16861967169445397,0.5644949128211301,0.4015320648721641,3,0.2062994740159002,0.5
Akita,2003,1167000.0,2,4683.0,491103000.0,0.004012853470437018,420.82519280205656,0.0018854959396873703,0.0015447451337703341,0.48298315794375196,0.2,0.14621479454090675,0.1566756487327743,0.16399755732228632,0.5490072848145147,0.3528414667736445,3,0.2062994740159002,0.5
Akita,2007,1121000.0,1,40.0,673459.9865501008,3.568242640499554e-05,0.6007671601695815,1.6765892550142258e-05,2.2052675625755662e-06,0.03759317384024184,0.0,0.01128968827685765,0.012097402594048743,0.13249400426012542,0.44344622088856944,0.2277718117413091,3,0.2062994740159002,0.5
Akita,2008,1108000.0,1,678.0,243314000.0,0.000611913357400722,219.5974729241877,0.0002875161426449689,0.0008060879754588778,0.4311856946267054,0.0,0.1295569696878631,0.13882604928887277,0.1318880955727012,0.44141596209330686,0.2901210056910898,3,0.2062994740159002,0.5
Akita,2011,1075000.0,1,567280.0,292855483000.0,0.5277023255813954,272423.7051162791,0.24794839870864904,1.0,1.0,0.0,0.4735638790960543,0.5074447370852441,0.20237562999753952,0.6776032617518885,0.5925239994185663,3,0.2062994740159002,0.5
Akita,2012,1063000.0,1,9106.0,215872000.0,0.00856632173095014,203.07808090310442,0.0040250073820919195,0.000745449375693735,0.42496625794315407,0.0,0.13030738255041055,0.139630150012238,0.18750798845594907,0.6277852600775016,0.3837077050448698,3,0.2062994740159002,0.5
Akita,2013,1050000.0,1,19679.0,269310000.0,0.01874190476190476,256.48571428571427,0.00880614893888223,0.0009414955801156806,0.4435407195186992,0.0,0.13922652011282732,0.14918740219124063,0.17754754693204772,0.5944101419642982,0.3717987720777694,3,0.2062994740159002,0.5
Akita,2014,1037000.0,2,5010.0,8062972000.0,0.004831243972999035,7775.2864030858245,0.002270028288308448,0.028541152098959546,0.7158409935874637,0.2,0.21634131787805502,0.23181933423819598,0.18555068147330234,0.6212267805590107,0.42652305739860336,3,0.2062994740159002,0.5
Akita,2015,1023000.0,1,865.0,273962000.0,0.0008455522971652004,267.80254154447704,0.00039729470184833067,0.000983036852208476,0.44697758885236566,0.0,0.13437138294700351,0.1439849070023613,0.17499241910682417,0.5858485041336324,0.3649167055679969,3,0.2062994740159002,0.5
Aomori,1961,1426606.0,1,2020.0,1117152.915610286,0.0014159480613427954,0.7830844084563544,0.0006653032163118816,2.874509059782845e-06,0.046211685703157486,0.0,0.014329217962365562,0.015354393699598219,0.0029561101286952047,0.009394928443580456,0.012374661071589337,3,0.2062994740159002,0.5
Aomori,1965,1418594.0,1,1330.0,4037235.784136182,0.000937548022901549,2.845941674740047,0.0004405201942871532,1.044674755277008e-05,0.10763130887150833,0.0,0.032597756797453505,0.034929944739930954,0.009071166245425203,0.02988505628329406,0.03240750051161251,3,0.2062994740159002,0.5
Aomori,1966,1416591.0,1,520.0,442436.7982614994,0.0003670784298361348,0.31232501001453444,0.00017247699027681464,1.1464678152043494e-06,0.021717764931022013,0.0,0.0066360633725003745,0.007110836746601706,0.008568805803566204,0.028201763525416593,0.017656300136009148,3,0.2062994740159002,0.5
Aomori,1968,1420962.6,1,3251.0,1181406000.0,0.002287885691009742,831.4124523755938,0.0010749954396909265,0.0030519093484200305,0.5372964361454841,0.0,0.16194142765142885,0.17352743485133992,0.04020949701921983,0.13422234544156972,0.15387489014645483,3,0.2062994740159002,0.5
Aomori,1972,1435745.2,1,500.0,841018571.4285715,0.0003482512078048389,585.7714665726004,0.0001636307538126322,0.002150222082628876,0.5093548180834541,0.0,0.15292098695270506,0.1638616318608452,0.06346181810804627,0.21213545410080772,0.18799854298082647,3,0.2062994740159002,0.5
