disno_core,prefecture_norm,disno,event_year,year,disaster_type_gdis,disaster_subtype,country,iso3,region,island,capital,location_str,location_str_emdat,start_year,end_year,decade,human_impact_best,damage_final_usd,damage_final_log10,damage_adj_usd,damage_imputed_usd,damage_imputed_flag,latitude,longitude,population_at_event,pop_is_observed,pop_is_interpolated,human_per_100k,econ_per_capita,econ_per_capita_log10
1961-0011,Nagano,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Nagano-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,36.13138656,138.0456173,1981433.0,True,False,10.194641958622876,0.5638105934494307,0.0
1961-0011,Nara,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,Nara-shi,Nara,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,34.31780384,135.8717335,781058.0,True,False,25.862355932593996,1.4303072442895226,0.15542933828113012
1961-0011,Niigata,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Niigata-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,37.52181911,138.9186474,2442037.0,True,False,8.271782941863698,0.4574676450890326,0.0
1961-0011,Okayama,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chugoku,Honshu,Okayama-shi,Okayama,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,34.89245983,133.8262517,1670454.0,True,False,12.092520955380992,0.6687720318011068,0.0
1961-0011,Osaka,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,osaka-shi,Osaka,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,34.62161449,135.5082161,5504746.0,True,False,3.6695607753745585,0.2029435900603381,0.0
1961-0011,Saitama,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Saitama-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.99757593,139.3488579,2430871.0,True,False,8.309778676038341,0.45956898396101065,0.0
1961-0011,Shiga,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,otsu-shi,Shiga,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.21763711,136.1382324,842695.0,True,False,23.970713010045152,1.3256906895262057,0.12244220619400854
1961-0011,Shimane,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chugoku,Honshu,Matsue-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.07076032,132.554064,888886.0,True,False,22.725073856490035,1.2568011146651943,0.09926655721072689
1961-0011,Shizuoka,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Shizuoka-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,34.92114009,138.4052614,2756271.0,True,False,7.3287423479041065,0.4053131624612696,0.0
1961-0011,Tochigi,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Utsunomiya-shi,Tochigi,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,36.69030812,139.8191975,1513624.0,True,False,13.345454353260783,0.7380650119252112,0.0
1961-0011,Tokyo,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Shinjuku-ku,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.7113435,139.4469212,9683802.0,True,False,2.085957560883628,0.11536304806833989,0.0
1961-0011,Tottori,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chugoku,Honshu,Tottori-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.35952638,133.8651396,599135.0,True,False,33.71527285169453,1.8646096716270724,0.27058793255208585
1961-0011,Toyama,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Toyama-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,36.63785294,137.2698289,1032614.0,True,False,19.562004776228097,1.0818688450963148,0.03417461446424248
1961-0011,Wakayama,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,Wakayama-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,33.91187939,135.505446,1002191.0,True,False,20.155838557720035,1.1147105847191663,0.047162124985222556
1961-0011,Yamagata,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Tohoku,Honshu,Yamagata-shi,Yamagata,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,38.44787123,140.1016345,1320664.0,True,False,15.295336285383716,0.8459024518047633,0.0
1961-0011,Yamaguchi,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chugoku,Honshu,Yamaguchi-shi,Yamaguchi,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,34.20231962,131.5725496,1602207.0,True,False,12.6076093788131,0.6972587909117148,0.0
1961-0011,Yamanashi,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Kofu-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.61187909,138.6119949,782062.0,True,False,25.829154210280002,1.4284710363248514,0.15487143905420786
1964-0036,Kagawa,1964-0036,1964,1964,earthquake,Tsunami,Japan,JPN,Shikoku,Shikoku,Takamatsu-shi,Kagawa,"Niigata, Hodo Isl.",1964.0,1964.0,1960.0,35376.0,8090849000.0,9.907994095984233,8090849000.0,8090849000.0,False,34.21708716,133.9686006,908053.8,False,True,3895.8044115888288,8910.098718820404,3.949882515799103
1964-0036,Niigata,1964-0036,1964,1964,earthquake,Tsunami,Japan,JPN,Chubu,Honshu,Niigata-shi,Niigata,"Niigata, Hodo Isl.",1964.0,1964.0,1960.0,35376.0,8090849000.0,9.907994095984233,8090849000.0,8090849000.0,False,37.52181911,138.9186474,2416173.4,False,True,1464.1333275169738,3348.6210054294947,3.524865997177168
1965-0055,Aichi,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Nagoya-shi,Aichi,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,35.034637,137.2139891,4680185.0,False,True,15.597674023569581,0.8626231194143356,0.0
1965-0055,Akita,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Tohoku,Honshu,Akita-shi,Akita,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,39.74813497,140.4078158,1290984.0,False,True,56.54601451296065,3.127254701945324,0.4951632541705535
1965-0055,Aomori,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Tohoku,Honshu,Aomori-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,40.78369335,140.8295531,1418594.0,False,True,51.45940276076171,2.845941674740047,0.45422599532728386
1965-0055,Chiba,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Chiba-shi,Chiba,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,35.51037345,140.1992438,2622618.0,False,True,27.834781885886546,1.539391472237353,0.18734907637019413
1965-0055,Ehime,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Shikoku,Shikoku,Matsuyama-shi,Shikoku,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,33.62483527,132.8568425,1457244.6,False,True,50.09454143799881,2.770458565525775,0.4425516593152409
1965-0055,Fukui,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Fukui-shi,Fukui,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,35.84601935,136.2236906,750984.8,False,True,97.20569577440182,5.375922101400963,0.7304529670441285
1965-0055,Fukushima,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Tohoku,Honshu,Fukushima-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,37.37886746,140.2232952,1997230.6,False,True,36.55061163192673,2.0214169481161472,0.3056559026245171
1965-0055,Gifu,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Gifu-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,35.77957986,137.0558252,1687971.8,False,True,43.24716799178754,2.39176731752046,0.3787189271423831
1965-0055,Gunma,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Maebashi-shi,Gunma,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,36.50413546,138.9849477,1600162.4,False,True,45.620369532492454,2.5230162789328023,0.4019200526689338
1965-0055,Hiroshima,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Chugoku,Honshu,Hiroshima-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,34.60714608,132.7891401,2261725.4,False,True,32.27624361471999,1.7850247356006093,0.251644238633321
1965-0055,Hyogo,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,Kobe-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,35.04016741,134.8281039,4229252.6,False,True,17.26073301935193,0.9545979315910765,0.0
1965-0055,Ibaraki,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Mito-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,36.30496862,140.32148,2054328.0,False,True,35.534734472781366,1.9652342684012398,0.2934143284567824
1965-0055,Ishikawa,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Kanazawa-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,36.76865008,136.7700187,979082.8,False,True,74.55957759650154,4.123487598940745,0.6152646927951839
1965-0055,Iwate,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Tohoku,Honshu,Morioka-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,39.59372366,141.3612107,1418597.8,False,True,51.459264916384335,2.845934051311924,0.45422483198046243
1965-0055,Kagawa,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Shikoku,Shikoku,Takamatsu-shi,Kagawa,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,34.21708716,133.9686006,904449.4,False,True,80.71208848167736,4.463749751104022,0.6496998389848422
1965-0055,Kanagawa,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Yokohama-shi,Kanagawa,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,35.41334278,139.3360646,4233229.6,False,True,17.244517046748424,0.9537011137161524,0.0
1965-0055,Kochi,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Shikoku,Shikoku,Kochi-shi,Kochi,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,33.42251944,133.3673066,821090.2,False,True,88.90618838222646,4.916921166683249,0.6916932452743155
1965-0055,Kyoto,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,Kyoto-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,35.25443838,135.4419032,2080927.0,False,True,35.08051940313139,1.9401140857589825,0.28782726877496567
1965-0055,Mie,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,Tsu-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,34.50852184,136.375217,1508584.4,False,True,48.389735436744544,2.6761749519192843,0.42751450153581344
1965-0055,Miyagi,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Tohoku,Honshu,Sendai-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,38.44659069,140.9261804,1751139.8,False,True,41.68713428819332,2.305490277895678,0.3627632951673708
1965-0055,Nagano,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Nagano-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,36.13138656,138.0456173,1962692.2,False,True,37.193809604990534,2.056988754597477,0.31323191744600637
1965-0055,Nara,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,Nara-shi,Nara,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,34.31780384,135.8717335,816983.6,False,True,89.35307881333236,4.941636263122273,0.6938707753168712
1965-0055,Niigata,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Niigata-shi,Honshu,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,37.52181911,138.9186474,2407552.2,False,True,30.32125326296144,1.6769047766175877,0.2245084018048434
1965-0055,Okayama,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Chugoku,Honshu,Okayama-shi,Okayama,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,34.89245983,133.8262517,1650198.8,False,True,44.237094342814935,2.446514798178366,0.38854784701104794
1965-0055,Osaka,1965-0055,1965,1965,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,osaka-shi,Osaka,"Shikoku, Honshu",1965.0,1965.0,1960.0,730.0,4037235.784136182,6.606084113977818,,4037235.784136182,True,34.62161449,135.5082161,6426700.4,False,True,11.358861539585694,0.6281972914337476,0.0
