disno,year,disaster_type_gdis,country,iso3,prefecture,prefecture_norm,region,island,capital,location_str,adm1,adm2,latitude,longitude,disno_core,disno_raw,disaster_type_emdat,disaster_subtype,start_year,end_year,decade,deaths,injured,affected,homeless,total_affected,human_impact_best,damage_adj_usd,damage_imputed_usd,damage_imputed_flag,damage_final_usd,damage_final_log10,location_str_emdat
2003-0354,2003,earthquake,Japan,JPN,Miyagi,Miyagi,Tohoku,Honshu,Sendai-shi,Ishinomaki,Miyagi,Ishinomaki,38.48336702,141.376057,2003-0354,2003-0354-JPN,Earthquake,Ground movement,2003.0,2003.0,2000.0,,569.0,17403.0,219.0,18191.0,18191.0,700844000.0,700844000.0,False,700844000.0,8.845621359651673,"Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku, Isinomakisi, Hurukawasi, Kasimadaimati, Nangootyoon, Narusetyoo, Yamototyoo, Yoneyamatyoo districts (Miyagi province)"
2003-0354,2003,earthquake,Japan,JPN,Miyagi,Miyagi,Tohoku,Honshu,Sendai-shi,Sendai,Miyagi,Sendai,38.30088356,140.7520942,2003-0354,2003-0354-JPN,Earthquake,Ground movement,2003.0,2003.0,2000.0,,569.0,17403.0,219.0,18191.0,18191.0,700844000.0,700844000.0,False,700844000.0,8.845621359651673,"Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku, Isinomakisi, Hurukawasi, Kasimadaimati, Nangootyoon, Narusetyoo, Yamototyoo, Yoneyamatyoo districts (Miyagi province)"
2007-0258,2007,earthquake,Japan,JPN,Niigata,Niigata,Chubu,Honshu,Niigata-shi,Ojiya,Niigata,Ojiya,37.28700935,138.8049506,2007-0258,2007-0258-JPN,Earthquake,Ground movement,2007.0,2007.0,2000.0,9.0,1000.0,13000.0,,14000.0,14000.0,18911284000.0,18911284000.0,False,18911284000.0,10.276721016691882,"Aikawamati, Akadomarimura, Hatanomati, Izumozakimati, Kanaimati, Kariwamura, Kasiwazakisi, Manomati, Nagaokasi, Niigatasi, Odiyasi, Ogimati, Sanzyoosi, Sawatamati, Yosidamati, Zyooetusi districts (Niigata province), Nagano, Toyama provinces"
2007-0258,2007,earthquake,Japan,JPN,Niigata,Niigata,Chubu,Honshu,Niigata-shi,Tsubame,Niigata,Tsubame,37.66084747,138.895094,2007-0258,2007-0258-JPN,Earthquake,Ground movement,2007.0,2007.0,2000.0,9.0,1000.0,13000.0,,14000.0,14000.0,18911284000.0,18911284000.0,False,18911284000.0,10.276721016691882,"Aikawamati, Akadomarimura, Hatanomati, Izumozakimati, Kanaimati, Kariwamura, Kasiwazakisi, Manomati, Nagaokasi, Niigatasi, Odiyasi, Ogimati, Sanzyoosi, Sawatamati, Yosidamati, Zyooetusi districts (Niigata province), Nagano, Toyama provinces"
2008-0242,2008,earthquake,Japan,JPN,Miyagi,Miyagi,Tohoku,Honshu,Sendai-shi,Kurihara,Miyagi,Kurihara,38.80762367,140.944564,2008-0242,2008-0242-JPN,Earthquake,Ground movement,2008.0,2008.0,2000.0,23.0,448.0,,,448.0,448.0,243314000.0,243314000.0,False,243314000.0,8.386167098440978,"Mizusawasi, Moriokasi districts (Iwate province), Tukidatetyoo, Hurukawasi, Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku districts (Miyagi province), Akita province"
2008-0242,2008,earthquake,Japan,JPN,Iwate,Iwate,Tohoku,Honshu,Morioka-shi,Morioka,Iwate,Morioka,39.74259243,141.269767,2008-0242,2008-0242-JPN,Earthquake,Ground movement,2008.0,2008.0,2000.0,23.0,448.0,,,448.0,448.0,243314000.0,243314000.0,False,243314000.0,8.386167098440978,"Mizusawasi, Moriokasi districts (Iwate province), Tukidatetyoo, Hurukawasi, Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku districts (Miyagi province), Akita province"
2008-0242,2008,earthquake,Japan,JPN,Miyagi,Miyagi,Tohoku,Honshu,Sendai-shi,Sendai,Miyagi,Sendai,38.30088356,140.7520942,2008-0242,2008-0242-JPN,Earthquake,Ground movement,2008.0,2008.0,2000.0,23.0,448.0,,,448.0,448.0,243314000.0,243314000.0,False,243314000.0,8.386167098440978,"Mizusawasi, Moriokasi districts (Iwate province), Tukidatetyoo, Hurukawasi, Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku districts (Miyagi province), Akita province"
2008-0242,2008,earthquake,Japan,JPN,Iwate,Iwate,Tohoku,Honshu,Morioka-shi,Oshu,Iwate,Oshu,39.12744512,141.0977895,2008-0242,2008-0242-JPN,Earthquake,Ground movement,2008.0,2008.0,2000.0,23.0,448.0,,,448.0,448.0,243314000.0,243314000.0,False,243314000.0,8.386167098440978,"Mizusawasi, Moriokasi districts (Iwate province), Tukidatetyoo, Hurukawasi, Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku districts (Miyagi province), Akita province"
1968-0069,1968,storm,Japan,JPN,Kagoshima,Kagoshima,Kyushu,Kyushu,Kagoshima-shi, Makurazaki,Kagoshima,Makurazaki,31.28822985,130.321563,1968-0069,1968-0069-JPN,Storm,Tropical cyclone,1968.0,1968.0,1960.0,,,,,,,,,False,,,"Kagoshima, Makurazaki"
2016-0492,2016,earthquake,Japan,JPN,Tottori,Tottori,Chugoku,Honshu,Tottori-shi,Kurayoshi city ,Tottori,Kurayoshi,35.38700223,133.7523068,2016-0492,2016-0492-JPN,Earthquake,Ground movement,2016.0,2016.0,2010.0,,7.0,480.0,6.0,493.0,493.0,130700000.0,130700000.0,False,130700000.0,8.116275587580544,"Kurayoshi city (Kurayosisi district, Tottori province)"
2017-0246,2017,flood,Japan,JPN,Fukuoka,Fukuoka,Kyushu,Kyushu,Fukuoka-shi,Asakura,Fukuoka,Asakura,33.41410913,130.7444074,2017-0246,2017-0246-JPN,Flood,Riverine flood,2017.0,2017.0,2010.0,37.0,34.0,2610.0,300.0,2944.0,2944.0,895817000.0,895817000.0,False,895817000.0,8.952219299832421,"Fukuoka (Asakura), Oita prefectures (Kyushu Isl.), Shimane, Kunamoto, Hiroshima, Nagasaki, Miyazaki, Kagoshima"
2017-0327,2017,storm,Japan,JPN,Kagoshima,Kagoshima,Kyushu,Kyushu,Kagoshima-shi,Yakushima,Kagoshima,Yakushima,30.347096,130.5009394,2017-0327,2017-0327-JPN,Storm,Tropical cyclone,2017.0,2017.0,2010.0,2.0,51.0,1338.0,,1389.0,1389.0,2559000.0,2559000.0,False,2559000.0,6.408070285887185,"Wakayama prefecture; Mie region, Kagoshima (Yakushima, Minami-ko towns), Miyazaki, Oita, Fukuoka Prefectures, Hyogo Prefecture"
2017-0468,2017,storm,Japan,JPN,Kagawa,Kagawa,Shikoku,Shikoku,Takamatsu-shi,Mitoyo city,Kagawa,Mitoyo,34.16080356,133.7245464,2017-0468,2017-0468-JPN,Storm,Tropical cyclone,2017.0,2017.0,2010.0,2.0,56.0,21600.0,,21656.0,21656.0,639869000.0,639869000.0,False,639869000.0,8.80609107023307,"Oita (Bungo-ono), Kagawa (Mitoyo city), Okayama, Ehime, Kochi, Kyoto, Miyazaki, Hyogo"
2018-0330,2018,earthquake,Japan,JPN,Hokkaido,Hokkaido,Hokkaido,Hokkaido,Sapporo-shi,Atsuma village,Hokkaido,Atsuma,42.73748672,141.9608487,2018-0330,2018-0330-JPN,Earthquake,Ground movement,2018.0,2018.0,2010.0,41.0,680.0,5600.0,,6280.0,6280.0,1561532000.0,1561532000.0,False,1561532000.0,9.193550888522044,"Atsuma village, Abira, Sapporo (Hokkaido)"
2018-0330,2018,earthquake,Japan,JPN,Hokkaido,Hokkaido,Hokkaido,Hokkaido,Sapporo-shi, Sapporo ,Hokkaido,Sapporo,42.99594639,141.2604924,2018-0330,2018-0330-JPN,Earthquake,Ground movement,2018.0,2018.0,2010.0,41.0,680.0,5600.0,,6280.0,6280.0,1561532000.0,1561532000.0,False,1561532000.0,9.193550888522044,"Atsuma village, Abira, Sapporo (Hokkaido)"
2018-0330,2018,earthquake,Japan,JPN,Hokkaido,Hokkaido,Hokkaido,Hokkaido,Sapporo-shi, Abira,Hokkaido,Abira,42.81727731,141.8498565,2018-0330,2018-0330-JPN,Earthquake,Ground movement,2018.0,2018.0,2010.0,41.0,680.0,5600.0,,6280.0,6280.0,1561532000.0,1561532000.0,False,1561532000.0,9.193550888522044,"Atsuma village, Abira, Sapporo (Hokkaido)"
2013-0316,2013,extreme temperature ,Japan,JPN,Hyogo,Hyogo,Kansai,Honshu,Kobe-shi, Kobe city ,Hyogo,Kobe,34.74364611,135.1320684,2013-0316,2013-0316-JPN,Extreme temperature,Heat wave,2013.0,2013.0,2010.0,338.0,54000.0,,,54000.0,54000.0,,,False,,,"Ehime, Kagawa, Kooti, Tokusima provinces (Shikoko Isl.), Hukuoka, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga provinces (Kyushu Isl.), Oosaka, Kyooto provinces (Honshu Isl.), Kobe city (Hyoogo province) (Honshu Isl.)"
2013-0316,2013,extreme temperature ,Japan,JPN,Ehime,Ehime,Shikoku,Shikoku,Matsuyama-shi,Shikoko Isl.,Ehime,Shikokuchuo,33.9337065,133.5390107,2013-0316,2013-0316-JPN,Extreme temperature,Heat wave,2013.0,2013.0,2010.0,338.0,54000.0,,,54000.0,54000.0,,,False,,,"Ehime, Kagawa, Kooti, Tokusima provinces (Shikoko Isl.), Hukuoka, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga provinces (Kyushu Isl.), Oosaka, Kyooto provinces (Honshu Isl.), Kobe city (Hyoogo province) (Honshu Isl.)"
2015-0611,2015,extreme temperature ,Japan,JPN,Chiba,Chiba,Kanto,Honshu,Chiba-shi,Funabashi ,Chiba,Funabashi,35.72218544,140.0231589,2015-0611,2015-0611-JPN,Extreme temperature,Heat wave,2015.0,2015.0,2010.0,5.0,3200.0,,,3200.0,3200.0,,,False,,,"Funabashi (Chiba Prefecture), Isesaki City, Tatebayashi (Gunma Prefecture), Tokyo, Iwate, Yagamata"
2015-0611,2015,extreme temperature ,Japan,JPN,Gunma,Gunma,Kanto,Honshu,Maebashi-shi, Tatebayashi ,Gunma,Tatebayashi,36.24460015,139.5386693,2015-0611,2015-0611-JPN,Extreme temperature,Heat wave,2015.0,2015.0,2010.0,5.0,3200.0,,,3200.0,3200.0,,,False,,,"Funabashi (Chiba Prefecture), Isesaki City, Tatebayashi (Gunma Prefecture), Tokyo, Iwate, Yagamata"
2015-0611,2015,extreme temperature ,Japan,JPN,Gunma,Gunma,Kanto,Honshu,Maebashi-shi, Isesaki City,Gunma,Isesaki,36.31605655,139.2265441,2015-0611,2015-0611-JPN,Extreme temperature,Heat wave,2015.0,2015.0,2010.0,5.0,3200.0,,,3200.0,3200.0,,,False,,,"Funabashi (Chiba Prefecture), Isesaki City, Tatebayashi (Gunma Prefecture), Tokyo, Iwate, Yagamata"
2016-0538,2016,extreme temperature ,Japan,JPN,Shizuoka,Shizuoka,Chubu,Honshu,Shizuoka-shi, Kawanehoncho,Shizuoka,Kawanehon,35.16027223,138.1091954,2016-0538,2016-0538-JPN,Extreme temperature,Heat wave,2016.0,2016.0,2010.0,3.0,490.0,,,490.0,490.0,,,False,,,"Yamanashi, Kawanehoncho,Shizuoka"
2018-0226,2018,extreme temperature ,Japan,JPN,Saitama,Saitama,Kanto,Honshu,Saitama-shi,Kumagaya ,Saitama,Kumagaya,36.15547595,139.3771044,2018-0226,2018-0226-JPN,Extreme temperature,Heat wave,2018.0,2018.0,2010.0,119.0,49000.0,,,49000.0,49000.0,,,False,,,Kumagaya (Saitama Prefecture)
2000-0176,2000,volcanic activity,Japan,JPN,Hokkaido,Hokkaido,Hokkaido,Hokkaido,Sapporo-shi, Soobetutyoo districts ,Hokkaido,Sobetsu,42.5792901,140.9667188,2000-0176,2000-0176-JPN,Volcanic activity,Ash fall,2000.0,2000.0,2000.0,,,12400.0,,12400.0,12400.0,,141192600.0,True,141192600.0,8.149811935643669,"Abutatyoo, Datesi, Soobetutyoo districts (Hokkaidoo province)"
2015-0418,2015,flood,Japan,JPN,Ibaraki,Ibaraki,Kanto,Honshu,Mito-shi,Joso city ,Ibaraki,Joso,36.05894066,139.9644122,2015-0418,2015-0418-JPN,Flood,Riverine flood,2015.0,2015.0,2010.0,21.0,46.0,45000.0,,45046.0,45046.0,1852882000.0,1852882000.0,False,1852882000.0,9.267847762340676,"Joso city (Mitukaidoosi district, Ibaraki province), Miyagi, Totigi provinces"
1960-0016,1960,earthquake,Japan,JPN,Miyagi,Miyagi,Tohoku,Honshu,Sendai-shi,Onagawa,Miyagi,,38.44659069,140.9261804,1960-0016,1960-0016-JPN,Earthquake,Tsunami,1960.0,1960.0,1960.0,138.0,,,,,138.0,1484918000.0,1484918000.0,False,1484918000.0,9.171702471746979,"Onagawa, Honshu Island"
1961-0011,1961,storm,Japan,JPN,Aichi,Aichi,Chubu,Honshu,Nagoya-shi,Aichi,Aichi,,35.034637,137.2139891,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Akita,Akita,Tohoku,Honshu,Akita-shi,Akita,Akita,,39.74813497,140.4078158,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Aomori,Aomori,Tohoku,Honshu,Aomori-shi,Honshu,Aomori,,40.78369335,140.8295531,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Chiba,Chiba,Kanto,Honshu,Chiba-shi,Chiba,Chiba,,35.51037345,140.1992438,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Fukui,Fukui,Chubu,Honshu,Fukui-shi,Fukui,Fukui,,35.84601935,136.2236906,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Gifu,Gifu,Chubu,Honshu,Gifu-shi,Honshu,Gifu,,35.77957986,137.0558252,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Gunma,Gunma,Kanto,Honshu,Maebashi-shi,Gunma,Gunma,,36.50413546,138.9849477,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Hiroshima,Hiroshima,Chugoku,Honshu,Hiroshima-shi,Honshu,Hiroshima,,34.60714608,132.7891401,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Hyogo,Hyogo,Kansai,Honshu,Kobe-shi,Honshu,Hyogo,,35.04016741,134.8281039,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Ibaraki,Ibaraki,Kanto,Honshu,Mito-shi,Honshu,Ibaraki,,36.30496862,140.32148,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Ishikawa,Ishikawa,Chubu,Honshu,Kanazawa-shi,Honshu,Ishikawa,,36.76865008,136.7700187,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Iwate,Iwate,Tohoku,Honshu,Morioka-shi,Honshu,Iwate,,39.59372366,141.3612107,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Kanagawa,Kanagawa,Kanto,Honshu,Yokohama-shi,Kanagawa,Kanagawa,,35.41334278,139.3360646,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Kyoto,Kyoto,Kansai,Honshu,Kyoto-shi,Honshu,Kyoto,,35.25443838,135.4419032,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Mie,Mie,Kansai,Honshu,Tsu-shi,Honshu,Mie,,34.50852184,136.375217,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Miyagi,Miyagi,Tohoku,Honshu,Sendai-shi,Honshu,Miyagi,,38.44659069,140.9261804,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Nagano,Nagano,Chubu,Honshu,Nagano-shi,Honshu,Nagano,,36.13138656,138.0456173,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Nara,Nara,Kansai,Honshu,Nara-shi,Nara,Nara,,34.31780384,135.8717335,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Osaka,Osaka,Kansai,Honshu,osaka-shi,Osaka,Osaka,,34.62161449,135.5082161,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Saitama,Saitama,Kanto,Honshu,Saitama-shi,Honshu,Saitama,,35.99757593,139.3488579,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Shiga,Shiga,Kansai,Honshu,otsu-shi,Shiga,Shiga,,35.21763711,136.1382324,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Shizuoka,Shizuoka,Chubu,Honshu,Shizuoka-shi,Honshu,Shizuoka,,34.92114009,138.4052614,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Tochigi,Tochigi,Kanto,Honshu,Utsunomiya-shi,Tochigi,Tochigi,,36.69030812,139.8191975,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Tottori,Tottori,Chugoku,Honshu,Tottori-shi,Honshu,Tottori,,35.35952638,133.8651396,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Toyama,Toyama,Chubu,Honshu,Toyama-shi,Honshu,Toyama,,36.63785294,137.2698289,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Yamagata,Yamagata,Tohoku,Honshu,Yamagata-shi,Yamagata,Yamagata,,38.44787123,140.1016345,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Yamaguchi,Yamaguchi,Chugoku,Honshu,Yamaguchi-shi,Yamaguchi,Yamaguchi,,34.20231962,131.5725496,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1961-0011,1961,storm,Japan,JPN,Yamanashi,Yamanashi,Chubu,Honshu,Kofu-shi,Honshu,Yamanashi,,35.61187909,138.6119949,1961-0011,1961-0011-JPN,Storm,Tropical cyclone,1961.0,1961.0,1960.0,202.0,,,,,202.0,,1117152.915610286,True,1117152.915610286,6.048112623303986,Honshu + other Isles
1964-0036,1964,earthquake,Japan,JPN,Kagawa,Kagawa,Shikoku,Shikoku,Takamatsu-shi,Kagawa,Kagawa,,34.21708716,133.9686006,1964-0036,1964-0036-JPN,Earthquake,Tsunami,1964.0,1964.0,1960.0,25.0,376.0,35000.0,,35376.0,35376.0,8090849000.0,8090849000.0,False,8090849000.0,9.907994095984233,"Niigata, Hodo Isl."
1965-0055,1965,storm,Japan,JPN,Aichi,Aichi,Chubu,Honshu,Nagoya-shi,Aichi,Aichi,,35.034637,137.2139891,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Akita,Akita,Tohoku,Honshu,Akita-shi,Akita,Akita,,39.74813497,140.4078158,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Aomori,Aomori,Tohoku,Honshu,Aomori-shi,Honshu,Aomori,,40.78369335,140.8295531,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Chiba,Chiba,Kanto,Honshu,Chiba-shi,Chiba,Chiba,,35.51037345,140.1992438,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Fukui,Fukui,Chubu,Honshu,Fukui-shi,Fukui,Fukui,,35.84601935,136.2236906,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Gifu,Gifu,Chubu,Honshu,Gifu-shi,Honshu,Gifu,,35.77957986,137.0558252,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Gunma,Gunma,Kanto,Honshu,Maebashi-shi,Gunma,Gunma,,36.50413546,138.9849477,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Hiroshima,Hiroshima,Chugoku,Honshu,Hiroshima-shi,Honshu,Hiroshima,,34.60714608,132.7891401,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Hyogo,Hyogo,Kansai,Honshu,Kobe-shi,Honshu,Hyogo,,35.04016741,134.8281039,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Ibaraki,Ibaraki,Kanto,Honshu,Mito-shi,Honshu,Ibaraki,,36.30496862,140.32148,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Ishikawa,Ishikawa,Chubu,Honshu,Kanazawa-shi,Honshu,Ishikawa,,36.76865008,136.7700187,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Iwate,Iwate,Tohoku,Honshu,Morioka-shi,Honshu,Iwate,,39.59372366,141.3612107,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Kagawa,Kagawa,Shikoku,Shikoku,Takamatsu-shi,Kagawa,Kagawa,,34.21708716,133.9686006,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
1965-0055,1965,storm,Japan,JPN,Kanagawa,Kanagawa,Kanto,Honshu,Yokohama-shi,Kanagawa,Kanagawa,,35.41334278,139.3360646,1965-0055,1965-0055-JPN,Storm,Tropical cyclone,1965.0,1965.0,1960.0,60.0,730.0,,,730.0,730.0,,4037235.784136182,True,4037235.784136182,6.606084113977818,"Shikoku, Honshu"
