prefecture_norm,year,population,pop_is_observed,pop_is_interpolated,events_count,human_impact_sum,damage_sum_usd,events_with_human,events_with_damage,human_per_100k,econ_per_capita,econ_per_capita_log10,human_risk_norm,econ_risk_norm,risk_score
Aichi,1994,6814441.2,False,True,1.0,285.0,360618000.0,1.0,1.0,4.182294507141686,52.91967300268142,1.7236171519635017,1.9683327680664583e-05,0.46603004118362407,0.23302486225565236
Aichi,1995,6855720.6,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aichi,1996,6897000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aichi,1997,6932000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aichi,1998,6974000.0,True,False,1.0,258.0,5773120000.0,1.0,1.0,3.6994551190134786,827.806137080585,2.917928641792155,1.7410918151055833e-05,0.6378485804175116,0.31893299566783134
Aichi,1999,7008000.0,True,False,1.0,27338.0,9415846000.0,1.0,1.0,390.09703196347033,1343.5853310502282,3.1282652536701345,0.0018359318537420125,0.668108466308306,0.334972199081024
Aichi,2000,7047500.0,False,True,2.0,540151.0,16103425000.0,2.0,2.0,7664.43419652359,2284.984036892515,3.3588831703954924,0.03607148409071953,0.7012861037256586,0.36867879390818903
Aichi,2001,7087000.0,True,False,1.0,7040.0,1417269000.0,1.0,1.0,99.3368138845774,199.98151545082544,2.300989855120468,0.0004675134797667868,0.5490932414415263,0.27478037746064654
Aichi,2002,7123000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aichi,2003,7158000.0,True,False,1.0,2180.0,93787000.0,1.0,1.0,30.45543447890472,13.10240290583962,1.1173509500869518,0.0001433338315801641,0.3788101039390692,0.1894767188853247
Aichi,2004,7192000.0,True,False,1.0,5948.0,1001435000.0,1.0,1.0,82.70300333704115,139.24290878754172,2.14377308712865,0.0003892290014675739,0.5264753937112807,0.2634323113563741
Aichi,2005,7250000.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aichi,2006,7308000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aichi,2007,7360000.0,True,False,2.0,43012.0,90774000.0,2.0,1.0,584.4021739130435,12.333423913043479,1.0910836589249406,0.002750399204738136,0.37503118392069484,0.1888907915627165
Aichi,2008,7403000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aichi,2009,7418000.0,True,False,1.0,5119.0,1462167000.0,1.0,1.0,69.0078188190887,197.11067673227285,2.2947101489893797,0.00032477471589449663,0.5481898172147222,0.27425729596530835
Aichi,2010,7411000.0,True,False,1.0,15000.0,0.0,1.0,0.0,202.40183510997167,0.0,0.0,0.0009525731956069654,0.2180634229512811,0.10950799807344402
Aichi,2011,7416000.0,True,False,2.0,22308.0,2538081000.0,2.0,1.0,300.80906148867314,342.24393203883494,2.534335756863261,0.0014157117143434462,0.5826633379491074,0.2920395248317254
Aichi,2012,7427000.0,True,False,1.0,7766.0,215872000.0,1.0,1.0,104.56442709034603,29.06584085094924,1.463382891257491,0.0004921164395873367,0.42859167530176157,0.21454189587067446
Aichi,2013,7443000.0,True,False,2.0,49577.0,272003000.0,2.0,2.0,666.0889426306596,36.54480720139728,1.5628256750285798,0.0031348454538241114,0.4428979211935692,0.22301638332369664
Aichi,2014,7455000.0,True,False,4.0,28577.0,7950929617.453325,4.0,3.0,383.32662642521797,1066.52308751889,3.0279702612608594,0.0018040679784188268,0.6536796181937259,0.32774184308607235
Aichi,2015,7483000.0,True,False,1.0,845.0,273962000.0,1.0,1.0,11.29226246157958,36.61125217158894,1.5636145827988133,5.3145301438670066e-05,0.44301141669438804,0.22153228099791336
Aichi,2016,7507000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aichi,2017,7525000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Aichi,2018,7537000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1960,1338238.2,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1961,1335580.0,True,False,1.0,202.0,1117152.915610286,1.0,1.0,15.124515191901645,0.8364552595952964,-0.07755728366814041,7.118121118085679e-05,0.20690571468145613,0.1034884479463185
Akita,1962,1324431.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1963,1313282.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1964,1302133.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1965,1290984.0,False,True,1.0,730.0,4037235.784136182,1.0,1.0,56.54601451296065,3.127254701945324,0.4951632541705535,0.00026612514513113257,0.2892996353953971,0.14478288027026412
Akita,1966,1279835.0,True,False,1.0,80.0,442436.7982614994,1.0,1.0,6.2508057679310225,0.3456983113147393,-0.46130274191689785,2.9418458692537588e-05,0.15169852239077505,0.07586397042473379
Akita,1967,1272143.2,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1968,1264451.4,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1969,1256759.6,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1970,1249067.8,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1971,1241376.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1972,1239597.0,False,True,1.0,50.0,841018571.4285715,1.0,1.0,4.03356897443282,678.4612833272196,2.8315250695092438,1.8983373770247427e-05,0.625418208859779,0.3127185961167746
Akita,1973,1237818.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1974,1236039.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1975,1234260.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1976,1232481.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1977,1237333.8,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1978,1242186.6,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1979,1247039.4,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1980,1251892.2,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1981,1256745.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1982,1256202.4,False,True,1.0,3150.0,445341000.0,1.0,1.0,250.75576993006862,354.51373122675136,2.549633061184861,0.001180143574041155,0.584864070760554,0.2930221071672976
Akita,1983,1255659.8,False,True,1.0,77.0,1310187000.0,1.0,1.0,6.132234224588538,1043.4251379235045,3.0184612954206242,2.886041990850961e-05,0.6523116194478303,0.3261702399338694
Akita,1984,1255117.2,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1985,1254574.6,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1986,1254032.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1987,1248721.2,False,True,1.0,65010.0,94318133250.0,1.0,1.0,5206.126075219993,75531.77863081047,4.878129711632841,0.024501833935994453,0.9198511294117029,0.4721764816738487
Akita,1988,1243410.4,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1989,1238099.6,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1990,1232788.8,False,True,1.0,60000.0,9603335000.0,1.0,1.0,4867.01371719146,7789.927195964142,3.891533398810076,0.022905853630867574,0.777915345718399,0.4004105996746333
Akita,1991,1227478.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1992,1223982.4,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1993,1220486.8,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1994,1216991.2,False,True,1.0,285.0,360618000.0,1.0,1.0,23.41841091373545,296.31931603120876,2.4717599625578113,0.00011021515940314211,0.5736609280581123,0.2868855716087577
Akita,1995,1213495.6,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1996,1210000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1997,1206000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,1998,1201000.0,True,False,1.0,258.0,5773120000.0,1.0,1.0,21.48209825145712,4806.927560366361,3.6818675774292067,0.00010110220082053572,0.7477519624940591,0.3739265323474398
Akita,1999,1196000.0,True,False,1.0,27338.0,9415846000.0,1.0,1.0,2285.7859531772574,7872.780936454849,3.8961281671777668,0.0107577010292843,0.7785763679021243,0.3946670344657043
Akita,2000,1190000.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,2001,1184000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,2002,1176000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,2003,1167000.0,True,False,2.0,4483.0,491103000.0,2.0,2.0,384.14738646101114,420.82519280205656,2.624101731068246,0.0018079307596515029,0.5955774384096331,0.29869268458464227
Akita,2004,1159000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,2005,1146500.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,2006,1134000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
Akita,2007,1121000.0,True,False,1.0,4.0,673459.9865501008,1.0,1.0,0.3568242640499554,0.6007671601695815,-0.221293815263105,1.6793386744319286e-06,0.186227188933759,0.09311443413621671
Akita,2008,1108000.0,True,False,1.0,448.0,243314000.0,1.0,1.0,40.43321299638989,219.5974729241877,2.341627338048567,0.0001902927159316584,0.554939516064447,0.2775649043901893
Akita,2009,1096000.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180634229512811,0.10903171147564054
